,Name,N,M,K,Best.Obj,Avg.Obj,Avg.Time
0,Golden_11,40,400,5,463,467.375,11.6811
1,Golden_5,16,201,3,7491,7608.0,2.0134
2,Golden_18,38,301,4,590,594.125,10.6186
3,Golden_11,50,400,5,462,468.375,20.6129
4,Golden_13,20,253,4,549,551.0,3.4663
5,Golden_20,53,421,5,1078,1085.375,21.0609
6,Golden_20,61,421,5,1084,1090.75,30.6469
7,Golden_5,19,201,4,7664,7678.0,2.6123
8,Golden_6,22,281,3,8680,8726.375,3.5461
9,Golden_7,28,361,3,10055,10088.75,6.1592
10,Golden_13,29,253,4,542,544.375,6.6503
11,Golden_15,45,397,5,859,863.0,15.9134
12,Golden_7,73,361,4,10138,10224.25,58.0844
13,Golden_17,49,241,4,421,423.25,18.3779
14,Golden_20,47,421,5,1067,1076.5,20.2843
15,Golden_2,25,321,4,7730,7765.25,4.9678
16,Golden_2,65,321,4,8040,8113.0,43.3893
17,Golden_20,71,421,5,1080,1091.25,48.6343
18,Golden_1,25,241,4,4960,4999.75,4.8198
19,Golden_17,31,241,4,424,424.875,7.9367
20,Golden_4,81,481,4,14306,14364.375,74.4613
21,Golden_14,65,321,4,715,720.625,37.9495
22,Golden_14,54,321,4,708,715.125,25.3328
23,Golden_3,41,401,4,10613,10700.625,16.944
24,Golden_8,34,441,4,10933,10999.125,9.3898
25,Golden_1,41,241,4,5189,5242.875,14.1824
26,Golden_10,33,324,4,377,379.0,8.0073
27,Golden_13,51,253,4,569,571.875,22.6456
28,Golden_16,97,481,5,1040,1048.25,145.0704
29,Golden_3,34,401,4,10527,10607.625,12.6077
30,Golden_16,61,481,5,1025,1031.375,42.9408
31,Golden_19,28,361,4,807,811.5,6.8209
32,Golden_17,25,241,3,420,421.625,5.9354
33,Golden_19,31,361,4,815,817.375,9.1914
34,Golden_7,41,361,4,10174,10266.25,17.8322
35,Golden_2,36,321,4,7709,7751.5,14.1236
36,Golden_13,23,253,4,550,552.0,3.9041
37,Golden_20,43,421,5,1060,1066.0,14.4835
38,Golden_19,25,361,10,925,927.375,5.6432
39,Golden_2,30,321,4,7669,7715.0,7.5428
40,Golden_5,29,201,4,7475,7505.25,7.4162
41,Golden_17,21,241,3,425,425.5,4.4712
42,Golden_15,57,397,5,865,870.375,29.8397
43,Golden_3,51,401,4,10773,10862.0,25.5262
44,Golden_19,26,361,10,924,928.625,7.5153
45,Golden_14,30,321,4,680,684.125,6.2847
46,Golden_6,41,281,4,9146,9190.5,19.5364
47,Golden_14,33,321,4,689,691.5,7.6465
48,Golden_9,19,256,4,299,300.0,2.8639
