,Name,N,M,K,k-nearest,Best.Obj,Avg.Obj,Avg.Time
0,Golden_19,25,361,10,0.7,925,926.125,3.7266
1,Golden_19,25,361,10,0.5,925,927.25,4.1497
2,Golden_19,25,361,10,0.3,925,931.625,3.5744
3,Golden_19,25,361,10,0.1,935,942.0,3.6623
4,Golden_6,19,281,3,0.7,8624,8624.0,8.4685
5,Golden_6,19,281,3,0.5,8641,8655.625,8.4389
6,Golden_6,19,281,3,0.3,8641,8667.0,8.7054
7,Golden_6,19,281,3,0.1,8817,8850.625,15.0731
8,Golden_5,14,201,4,0.7,7679,7679.0,7.1271
9,Golden_5,14,201,4,0.5,7679,7679.0,7.3928
10,Golden_5,14,201,4,0.3,7705,7706.875,7.1551
11,Golden_5,14,201,4,0.1,7904,7923.5,9.4282
12,Golden_12,33,484,5,0.7,539,539.5,8.2702
13,Golden_12,33,484,5,0.5,539,541.0,7.7867
14,Golden_12,33,484,5,0.3,539,540.25,7.3889
15,Golden_12,33,484,5,0.1,540,542.75,7.1577
16,Golden_17,17,241,3,0.7,421,421.0,3.0004
17,Golden_17,17,241,3,0.5,421,421.0,2.6967
18,Golden_17,17,241,3,0.3,421,422.5,3.3712
19,Golden_17,17,241,3,0.1,422,423.875,2.7575
20,Golden_10,22,324,4,0.7,369,370.875,3.7732
21,Golden_10,22,324,4,0.5,371,371.5,3.9419
22,Golden_10,22,324,4,0.3,371,371.625,3.8931
23,Golden_10,22,324,4,0.1,373,374.625,3.6768
24,Golden_20,29,421,11,0.7,1222,1227.875,5.1761
25,Golden_20,29,421,11,0.5,1222,1228.25,5.7475
26,Golden_20,29,421,11,0.3,1230,1234.0,5.5699
27,Golden_20,29,421,11,0.1,1228,1239.875,5.4553
28,Golden_4,33,481,4,0.7,13627,13701.375,9.4199
29,Golden_4,33,481,4,0.5,13688,13742.75,10.7564
30,Golden_4,33,481,4,0.3,13620,13747.5,10.3305
31,Golden_4,33,481,4,0.1,13939,14027.25,11.5185
32,Golden_7,25,361,3,0.7,9904,9908.75,8.1888
33,Golden_7,25,361,3,0.5,9921,9930.375,8.6192
34,Golden_7,25,361,3,0.3,9966,9969.5,7.8817
35,Golden_7,25,361,3,0.1,10106,10121.375,10.7296
36,Golden_16,33,481,5,0.7,1030,1030.25,7.4354
37,Golden_16,33,481,5,0.5,1030,1031.25,6.6469
38,Golden_16,33,481,5,0.3,1030,1031.375,7.1156
39,Golden_16,33,481,5,0.1,1033,1036.75,6.6667
40,Golden_8,30,441,4,0.7,10916,10927.375,12.556
41,Golden_8,30,441,4,0.5,10889,10924.75,6.892
42,Golden_8,30,441,4,0.3,10889,10939.375,6.4861
43,Golden_8,30,441,4,0.1,11143,11178.625,29.5077
44,Golden_14,22,321,4,0.7,695,695.25,3.9676
45,Golden_14,22,321,4,0.5,695,695.0,3.6056
46,Golden_14,22,321,4,0.3,695,695.25,4.9081
47,Golden_14,22,321,4,0.1,703,703.125,4.5034
48,Golden_2,22,321,4,0.7,7745,7754.0,3.8488
49,Golden_2,22,321,4,0.5,7746,7752.0,4.0711
50,Golden_2,22,321,4,0.3,7786,7790.625,4.6112
51,Golden_2,22,321,4,0.1,7945,7961.5,6.0941
52,Golden_3,27,401,4,0.7,10540,10602.25,7.7535
53,Golden_3,27,401,4,0.5,10540,10594.25,7.4322
54,Golden_3,27,401,4,0.3,10572,10623.75,8.0781
55,Golden_3,27,401,4,0.1,10729,10774.625,8.0426
56,Golden_15,27,397,4,0.7,844,847.875,6.2589
57,Golden_15,27,397,4,0.5,844,845.25,6.7695
58,Golden_15,27,397,4,0.3,844,846.375,5.9426
59,Golden_15,27,397,4,0.1,846,852.0,5.7933
60,Golden_18,21,301,4,0.7,602,602.0,3.8298
61,Golden_18,21,301,4,0.5,602,602.5,5.3325
62,Golden_18,21,301,4,0.3,602,604.0,3.9151
63,Golden_18,21,301,4,0.1,606,607.875,3.6872
64,Golden_1,17,241,4,0.7,4948,4948.0,4.659
65,Golden_1,17,241,4,0.5,4948,4948.0,3.9164
66,Golden_1,17,241,4,0.3,4972,4972.0,4.7351
67,Golden_1,17,241,4,0.1,5050,5051.5,3.6202
68,Golden_13,17,253,4,0.7,554,554.0,5.7123
69,Golden_13,17,253,4,0.5,554,554.0,3.2878
70,Golden_13,17,253,4,0.3,554,554.0,3.6961
71,Golden_13,17,253,4,0.1,559,559.5,3.0002
72,Golden_9,18,256,4,0.7,302,302.25,4.666
73,Golden_9,18,256,4,0.5,302,302.25,3.2181
74,Golden_9,18,256,4,0.3,302,302.75,2.9843
75,Golden_9,18,256,4,0.1,308,308.75,2.9928
76,Golden_11,27,400,5,0.7,460,460.125,5.5427
77,Golden_11,27,400,5,0.5,458,460.125,5.3484
78,Golden_11,27,400,5,0.3,458,459.875,5.0595
79,Golden_11,27,400,5,0.1,464,465.75,6.9619
