,Name,N,M,Scheme_dep_Error,Scheme_indep_Error,Mean_dis
0,Golden_11,40,400,718.463543650056,601.0,1.881453634085213
1,Golden_5,16,201,10497.020856841713,6873.0,53.06000000000001
2,Golden_18,38,301,1071.8700890931711,601.0,2.6446666666666667
3,Golden_11,50,400,885.8246962290272,719.0,1.881453634085213
4,Golden_13,20,253,568.161647620147,420.0,2.92063492063492
5,Golden_20,53,421,1894.634929098925,1091.0,3.394761904761904
6,Golden_20,61,421,1872.4527666257513,1219.0,3.394761904761904
7,Golden_5,19,201,11554.19024057113,7716.0,53.06000000000001
8,Golden_6,22,281,11093.549797110074,7111.0,44.03
9,Golden_7,28,361,12914.182367065809,8473.0,38.85
10,Golden_13,29,253,731.8314315237786,494.0,2.92063492063492
11,Golden_15,45,397,1108.5680398130196,851.0,2.8929292929292934
12,Golden_7,73,361,21852.878739103257,13157.0,38.85
13,Golden_17,49,241,939.4368599424071,614.0,2.3508333333333336
14,Golden_20,47,421,1876.1234856908504,1034.0,3.394761904761904
15,Golden_2,25,321,8910.552010952651,6420.0,33.62499999999999
16,Golden_2,65,321,18049.097450253474,9642.0,33.62499999999999
17,Golden_20,71,421,1827.9082063383544,1384.0,3.394761904761904
18,Golden_1,25,241,6788.623322941948,4354.0,29.666666666666668
19,Golden_17,31,241,716.1962958404683,424.0,2.3508333333333336
20,Golden_4,81,481,28609.93660363173,17012.0,39.78333333333334
21,Golden_14,65,321,1236.6817436090278,844.0,2.9050000000000002
22,Golden_14,54,321,1114.6771156793748,776.0,2.9050000000000002
23,Golden_3,41,401,15260.584466945773,9668.0,36.93
24,Golden_8,34,441,13095.149137822233,9731.0,35.19
25,Golden_1,41,241,10557.991144796364,6373.0,29.666666666666668
26,Golden_10,33,324,605.9461591522813,450.0,1.8907120743034058
27,Golden_13,51,253,1080.401324812531,660.0,2.92063492063492
28,Golden_16,97,481,1865.186816701765,1238.0,2.8833333333333333
29,Golden_3,34,401,13356.023690701193,9479.0,36.93
30,Golden_16,61,481,1465.6144267786317,1122.0,2.8833333333333333
31,Golden_19,28,361,1095.6813270477737,683.0,2.9805555555555556
32,Golden_17,25,241,663.5227558460085,415.0,2.3508333333333336
33,Golden_19,31,361,1143.7098927268269,686.0,2.9805555555555556
34,Golden_7,41,361,15216.00593261704,10545.0,38.85
35,Golden_2,36,321,11778.089456039543,7887.0,33.62499999999999
36,Golden_13,23,253,638.0648266552648,473.0,2.92063492063492
37,Golden_20,43,421,2011.2329277741942,1122.0,3.394761904761904
38,Golden_19,25,361,1269.735623555077,677.0,2.9805555555555556
39,Golden_2,30,321,9568.32228154847,6763.0,33.62499999999999
40,Golden_5,29,201,15927.494465773887,10174.0,53.06000000000001
41,Golden_17,21,241,608.9936219664747,379.0,2.3508333333333336
42,Golden_15,57,397,1291.806604756459,879.0,2.8929292929292934
43,Golden_3,51,401,16730.011580530423,11112.0,36.93
44,Golden_19,26,361,1364.8295215888525,777.0,2.9805555555555556
45,Golden_14,30,321,804.5405867095511,540.0,2.9050000000000002
46,Golden_6,41,281,16329.66005423144,9421.0,44.03
47,Golden_14,33,321,837.169765064812,598.0,2.9050000000000002
48,Golden_9,19,256,389.8508787128045,273.0,1.9023529411764708
49,Golden_18,26,301,929.0469557276698,520.0,2.6446666666666667
50,Golden_14,46,321,1045.1805328617102,802.0,2.9050000000000002
51,Golden_6,19,281,10180.023061502172,6116.0,44.03
52,Golden_4,61,481,25617.62828068284,15820.0,39.78333333333334
53,Golden_11,34,400,697.7015048232319,515.0,1.881453634085213
54,Golden_11,80,400,1204.121742386827,852.0,1.881453634085213
55,Golden_6,24,281,12167.912481267354,7805.0,44.03
56,Golden_4,97,481,28731.257571061775,17613.0,39.78333333333334
57,Golden_13,22,253,617.4304336435589,455.0,2.92063492063492
58,Golden_5,14,201,10294.654502126356,6446.0,53.06000000000001
59,Golden_3,58,401,19812.82322799414,12413.0,36.93
60,Golden_18,43,301,1138.8741358630186,631.0,2.6446666666666667
61,Golden_13,26,253,680.9571147465755,525.0,2.92063492063492
62,Golden_18,31,301,897.5070343351586,536.0,2.6446666666666667
63,Golden_12,33,484,674.7742535169848,468.0,1.8739130434782612
64,Golden_16,41,481,1090.8187201685596,791.0,2.8833333333333333
65,Golden_2,54,321,16842.47773542507,8674.0,33.62499999999999
66,Golden_17,22,241,641.5722432582115,395.0,2.3508333333333336
67,Golden_6,29,281,13197.912917246347,9299.0,44.03
68,Golden_9,24,256,429.4844189892404,361.0,1.9023529411764708
69,Golden_8,56,441,16509.76345574482,11622.0,35.19
70,Golden_10,65,324,929.1793975214202,677.0,1.8907120743034058
71,Golden_7,26,361,11246.206149954636,7774.0,38.85
72,Golden_6,21,281,10720.87414086083,7031.0,44.03
73,Golden_11,67,400,1087.9600243751513,598.0,1.881453634085213
74,Golden_14,23,321,630.2372345238651,465.0,2.9050000000000002
75,Golden_8,74,441,23916.8582911265,14655.0,35.19
76,Golden_7,33,361,13136.117318937318,8659.0,38.85
77,Golden_15,31,397,911.4694874789823,717.0,2.8929292929292934
78,Golden_9,32,256,509.40121118595016,366.0,1.9023529411764708
79,Golden_9,29,256,468.2517852186463,344.0,1.9023529411764708
80,Golden_13,37,253,843.3625340029506,500.0,2.92063492063492
81,Golden_10,41,324,621.3123955896128,464.0,1.8907120743034058
82,Golden_17,17,241,537.6694921791767,384.0,2.3508333333333336
83,Golden_14,27,321,705.3415508118604,539.0,2.9050000000000002
84,Golden_10,24,324,481.1644605772171,337.0,1.8907120743034058
85,Golden_10,30,324,621.2308671667795,445.0,1.8907120743034058
86,Golden_3,31,401,13081.013899242385,8445.0,36.93
87,Golden_9,52,256,637.8268915787871,453.0,1.9023529411764708
88,Golden_10,47,324,703.1027453881441,517.0,1.8907120743034058
89,Golden_17,19,241,535.1099602453622,352.0,2.3508333333333336
90,Golden_10,22,324,475.39409301656394,314.0,1.8907120743034058
91,Golden_1,22,241,6936.111987939371,4628.0,29.666666666666668
92,Golden_1,31,241,7462.478822450776,4971.0,29.666666666666668
93,Golden_7,52,361,17056.4649227674,12280.0,38.85
94,Golden_20,29,421,1896.1645645902986,894.0,3.394761904761904
95,Golden_2,41,321,12319.332244879117,7366.0,33.62499999999999
96,Golden_3,67,401,21872.67113578191,13734.0,36.93
97,Golden_1,19,241,6052.126294631313,4106.0,29.666666666666668
98,Golden_4,49,481,20799.37147042203,13671.0,39.78333333333334
99,Golden_9,22,256,416.73076961921515,331.0,1.9023529411764708
100,Golden_3,29,401,13757.518634631188,8760.0,36.93
101,Golden_20,36,421,1803.5886005770426,955.0,3.394761904761904
102,Golden_8,63,441,19446.289616591203,12765.0,35.19
103,Golden_1,21,241,6643.225922548721,4448.0,29.666666666666668
104,Golden_17,18,241,492.77353798715285,337.0,2.3508333333333336
105,Golden_10,36,324,628.9401169058509,487.0,1.8907120743034058
106,Golden_3,37,401,13810.562638577714,9373.0,36.93
107,Golden_12,49,484,828.0259666384339,714.0,1.8739130434782612
108,Golden_13,19,253,603.8107974036925,400.0,2.92063492063492
109,Golden_7,37,361,15412.87942192135,9676.0,38.85
110,Golden_6,26,281,12074.774308994936,8381.0,44.03
111,Golden_4,33,481,16291.696952696142,11114.0,39.78333333333334
112,Golden_6,36,281,14767.843302699659,10058.0,44.03
113,Golden_12,70,484,1208.2519023278908,988.0,1.8739130434782612
114,Golden_8,32,441,12404.744000236911,8932.0,35.19
115,Golden_16,69,481,1671.2052842076394,1253.0,2.8833333333333333
116,Golden_12,38,484,718.200803602584,567.0,1.8739130434782612
117,Golden_7,25,361,12304.69247557678,8263.0,38.85
118,Golden_5,15,201,9690.338089760444,6150.0,53.06000000000001
119,Golden_20,31,421,1784.232334466564,912.0,3.394761904761904
120,Golden_11,45,400,792.9736564660953,656.0,1.881453634085213
121,Golden_19,41,361,1396.533566466822,884.0,2.9805555555555556
122,Golden_15,40,397,1091.2920972192953,716.0,2.8929292929292934
123,Golden_20,39,421,1854.0532850102659,1026.0,3.394761904761904
124,Golden_1,27,241,7707.921815139847,4729.0,29.666666666666668
125,Golden_5,23,201,13083.82348288849,8696.0,53.06000000000001
126,Golden_16,33,481,1079.836489504259,779.0,2.8833333333333333
127,Golden_4,41,481,17152.280749014866,11657.0,39.78333333333334
128,Golden_18,28,301,814.8719632795862,500.0,2.6446666666666667
129,Golden_8,30,441,11834.86452049556,8859.0,35.19
130,Golden_6,57,281,19967.919537318696,12632.0,44.03
131,Golden_14,22,321,673.9388582312447,451.0,2.9050000000000002
132,Golden_15,37,397,1025.7841297676744,740.0,2.8929292929292934
133,Golden_15,67,397,1510.1481910351392,1016.0,2.8929292929292934
134,Golden_19,46,361,1575.4300067991494,974.0,2.9805555555555556
135,Golden_9,26,256,492.87423594403333,360.0,1.9023529411764708
136,Golden_7,61,361,21600.25798940367,11598.0,38.85
137,Golden_10,25,324,497.6065621687145,349.0,1.8907120743034058
138,Golden_8,41,441,13599.862327108485,9896.0,35.19
139,Golden_15,29,397,839.2139618125263,621.0,2.8929292929292934
140,Golden_12,41,484,714.6711646318315,612.0,1.8739130434782612
141,Golden_3,81,401,23283.734594973295,14422.0,36.93
142,Golden_17,35,241,782.1742060821317,466.0,2.3508333333333336
143,Golden_20,85,421,2093.8103488703277,1541.0,3.394761904761904
144,Golden_14,36,321,872.470891948175,610.0,2.9050000000000002
145,Golden_12,35,484,709.2263042509512,498.0,1.8739130434782612
146,Golden_2,22,321,8698.07341104052,5965.0,33.62499999999999
147,Golden_12,97,484,1285.7519698255976,864.0,1.8739130434782612
148,Golden_19,33,361,1178.765689116311,725.0,2.9805555555555556
149,Golden_20,33,421,1867.73328331385,964.0,3.394761904761904
150,Golden_2,33,321,10858.784622395739,7228.0,33.62499999999999
151,Golden_5,21,201,12596.44843319367,8290.0,53.06000000000001
152,Golden_5,17,201,10987.524039351783,6990.0,53.06000000000001
153,Golden_3,27,401,13219.923049255827,8363.0,36.93
154,Golden_2,46,321,13971.511109134477,8168.0,33.62499999999999
155,Golden_4,35,481,16931.664156624698,11762.0,39.78333333333334
156,Golden_18,24,301,884.2869685259524,511.0,2.6446666666666667
157,Golden_1,18,241,5748.4030060322975,3921.0,29.666666666666668
158,Golden_14,25,321,661.7684232197552,501.0,2.9050000000000002
159,Golden_17,27,241,669.7121231936075,395.0,2.3508333333333336
160,Golden_12,61,484,1052.273198619879,873.0,1.8739130434782612
161,Golden_11,58,400,949.7693019089895,760.0,1.881453634085213
162,Golden_11,37,400,706.2190108237313,560.0,1.881453634085213
163,Golden_12,81,484,1390.6259386051506,901.0,1.8739130434782612
164,Golden_16,54,481,1326.5563262052942,1005.0,2.8833333333333333
165,Golden_18,34,301,999.8484606002982,580.0,2.6446666666666667
166,Golden_5,41,201,17281.220558188063,9873.0,53.06000000000001
167,Golden_15,27,397,839.9298354859686,658.0,2.8929292929292934
168,Golden_9,43,256,608.2869845151487,469.0,1.9023529411764708
169,Golden_15,50,397,1189.430416562234,833.0,2.8929292929292934
170,Golden_16,37,481,1051.2968914725407,759.0,2.8833333333333333
171,Golden_18,61,301,1343.7896642586725,788.0,2.6446666666666667
172,Golden_12,44,484,755.9292153843074,651.0,1.8739130434782612
