,Name,N,M,K,LowerBound,Time,Eps_1,Eps_2
1,Golden_1,17,241,4,4672,0.27,4966,934
2,Golden_1,18,241,4,4696,1.82,5185,961
3,Golden_1,19,241,4,4724,1.36,5402,986
4,Golden_1,21,241,4,4730,1.73,5008,1008
5,Golden_1,22,241,4,4750,1.83,5188,1028
6,Golden_1,25,241,4,4748,2.68,5533,922
7,Golden_1,27,241,4,4764,2.20,5892,901
8,Golden_1,31,241,4,4887,3.76,5601,981
9,Golden_1,35,241,4,4964,17.33,6221,1112
10,Golden_1,41,241,4,4967,4.70,6983,1133
11,Golden_1,49,241,4,4899,7.31,7258,1216
12,Golden_2,22,321,4,7516,1.74,6972,1096
13,Golden_2,23,321,4,7491,1.47,7184,1082
14,Golden_2,25,321,4,7449,3.15,7337,1044
15,Golden_2,27,321,4,7411,7.21,7092,1047
16,Golden_2,30,321,4,7426,7.48,7716,1154
17,Golden_2,33,321,4,7453,45.18,7893,1196
18,Golden_2,36,321,4,7441,30.08,8552,1312
19,Golden_2,41,321,4,7522,12.31,8826,1446
20,Golden_2,46,321,4,7619,19.32,8988,1538
21,Golden_2,54,321,4,7651,13.06,9843,1491
22,Golden_2,65,321,4,7656,145.70,10446,1338
23,Golden_3,27,401,4,10277,2.12,10208,1435
24,Golden_3,29,401,4,10275,5.29,10871,1532
25,Golden_3,31,401,4,10258,6.05,11160,1605
26,Golden_3,34,401,4,10257,6.00,10978,1706
27,Golden_3,37,401,4,10265,5.06,10411,1801
28,Golden_3,41,401,4,10280,8.31,11183,1868
29,Golden_3,45,401,4,10245,7.19,11410,1953
30,Golden_3,51,401,4,10325,26.35,12137,2072
31,Golden_3,58,401,4,10463,46.87,13301,2141
32,Golden_3,67,401,4,10477,22.84,14359,2076
33,Golden_3,81,401,4,10315,319.36,14957,1782
34,Golden_4,33,481,4,13304,7.69,12589,1970
35,Golden_4,35,481,4,13333,11.33,13277,2084
36,Golden_4,37,481,4,13213,8.41,13895,2128
37,Golden_4,41,481,4,13186,10.24,13457,2297
38,Golden_4,44,481,4,13222,7.73,13185,2385
39,Golden_4,49,481,4,13423,9.33,14460,2535
40,Golden_4,54,481,4,13442,9.70,15083,2671
41,Golden_4,61,481,4,13447,15.22,16590,2680
42,Golden_4,69,481,4,13622,44.07,17988,2804
43,Golden_4,81,481,4,13525,243.36,17662,2532
44,Golden_4,97,481,4,13363,303.71,18370,2109
45,Golden_5,14,201,4,7334,0.27,7781,1319
46,Golden_5,15,201,3,7229,0.96,7258,1354
47,Golden_5,16,201,3,7223,1.18,8025,1413
48,Golden_5,17,201,3,7153,0.76,8094,1474
49,Golden_5,19,201,4,7262,0.63,8841,1596
50,Golden_5,21,201,4,7260,0.75,9525,1650
51,Golden_5,23,201,4,7315,1.23,9406,1684
52,Golden_5,26,201,4,7174,0.97,10171,1621
53,Golden_5,29,201,4,7035,4.65,10879,1474
54,Golden_5,34,201,4,7092,2.70,10485,1403
55,Golden_5,41,201,4,6915,8.14,10393,1393
56,Golden_6,19,281,3,8302,0.43,7634,1166
57,Golden_6,21,281,3,8319,0.61,7989,1221
58,Golden_6,22,281,3,8339,0.72,8314,1264
59,Golden_6,24,281,4,8525,1.08,9002,1414
60,Golden_6,26,281,4,8616,1.17,9681,1551
61,Golden_6,29,281,4,8656,2.25,10254,1707
62,Golden_6,32,281,4,8678,3.18,10878,1734
63,Golden_6,36,281,4,8700,5.46,10838,1718
64,Golden_6,41,281,4,8720,13.94,10896,1581
65,Golden_6,47,281,4,8642,6.22,11950,1393
66,Golden_6,57,281,4,8728,28.60,14104,1416
67,Golden_7,25,361,3,9587,1.40,9881,1285
68,Golden_7,26,361,3,9598,2.39,8922,1324
69,Golden_7,28,361,3,9637,2.51,9817,1354
70,Golden_7,31,361,4,9738,4.60,10952,1397
71,Golden_7,33,361,4,9735,3.04,10297,1491
72,Golden_7,37,361,4,9821,2.13,11353,1636
73,Golden_7,41,361,4,9754,2.32,11140,1825
74,Golden_7,46,361,4,9776,30.51,11649,1949
75,Golden_7,52,361,4,9804,35.71,12890,2026
76,Golden_7,61,361,4,9830,492.46,12598,1938
