,Name,N,M,K,LowerBound,LB – Time
189,Golden_1,17,241,3,4612,1.721
157,Golden_1,18,241,3,4631,5.036
97,Golden_1,19,241,3,4654,7.864
103,Golden_1,21,241,3,4660,6.113
91,Golden_1,22,241,3,4686,25.729
18,Golden_1,25,241,3,4678,7.582
124,Golden_1,27,241,3,4697,4.902
92,Golden_1,31,241,3,4806,12.611
211,Golden_1,35,241,3,4904,129.882
25,Golden_1,41,241,3,4907,40.725
203,Golden_1,49,241,3,4839,150.406
146,Golden_2,22,321,3,7415,17.258
204,Golden_2,23,321,3,7385,10.606
15,Golden_2,25,321,3,7346,5.531
192,Golden_2,27,321,3,7314,9.616
39,Golden_2,30,321,3,7333,17.658
150,Golden_2,33,321,3,7766,5075.080
35,Golden_2,36,321,3,7354,31.114
95,Golden_2,41,321,3,7435,53.623
154,Golden_2,46,321,3,7539,14.010
65,Golden_2,54,321,3,7570,30.919
16,Golden_2,65,321,3,7579,150.613
153,Golden_3,27,401,3,10196,5.755
100,Golden_3,29,401,3,10173,19.637
86,Golden_3,31,401,3,10159,14.824
29,Golden_3,34,401,3,10163,10.112
106,Golden_3,37,401,3,10173,49.125
23,Golden_3,41,401,3,10190,23.130
177,Golden_3,45,401,3,10155,55.478
43,Golden_3,51,401,3,10244,150.727
59,Golden_3,58,401,3,10394,150.581
96,Golden_3,67,401,3,10396,90.212
141,Golden_3,81,401,3,10237,150.870
111,Golden_4,33,481,3,13175,8.729
155,Golden_4,35,481,3,13210,22.947
205,Golden_4,37,481,3,13127,45.195
127,Golden_4,41,481,3,13098,31.430
218,Golden_4,44,481,3,13138,68.995
98,Golden_4,49,481,3,13327,106.776
185,Golden_4,54,481,3,13355,65.755
52,Golden_4,61,481,3,13362,150.804
188,Golden_4,69,481,3,13536,58.424
20,Golden_4,81,481,3,13448,151.024
56,Golden_4,97,481,3,13302,151.163
58,Golden_5,14,201,3,7136,0.281
118,Golden_5,15,201,3,7229,1.959
1,Golden_5,16,201,3,7223,1.114
152,Golden_5,17,201,3,7153,0.391
7,Golden_5,19,201,3,7172,2.201
151,Golden_5,21,201,3,7189,1.984
125,Golden_5,23,201,3,7225,3.239
209,Golden_5,26,201,3,7054,1.695
40,Golden_5,29,201,3,6938,8.688
179,Golden_5,34,201,3,7002,4.338
166,Golden_5,41,201,3,6850,25.805
51,Golden_6,19,281,3,8302,0.803
72,Golden_6,21,281,3,8319,0.894
8,Golden_6,22,281,3,8339,0.696
55,Golden_6,24,281,3,8448,5.922
110,Golden_6,26,281,3,8539,10.383
67,Golden_6,29,281,3,8579,16.784
175,Golden_6,32,281,3,8595,11.221
112,Golden_6,36,281,3,8614,27.265
46,Golden_6,41,281,3,8633,44.123
212,Golden_6,47,281,3,8552,7.889
130,Golden_6,57,281,3,8662,150.504
117,Golden_7,25,361,3,9587,5.927
71,Golden_7,26,361,3,9598,4.059
9,Golden_7,28,361,3,9637,4.492
196,Golden_7,31,361,3,9658,6.040
76,Golden_7,33,361,3,9655,22.931
109,Golden_7,37,361,3,9741,14.260
34,Golden_7,41,361,3,9674,13.606
187,Golden_7,46,361,3,9721,62.325
93,Golden_7,52,361,3,9734,90.666
136,Golden_7,61,361,3,9753,116.628
12,Golden_7,73,361,3,9648,140.792
129,Golden_8,30,441,3,10533,3.186
114,Golden_8,32,441,3,10507,3.437
24,Golden_8,34,441,3,10538,5.825
176,Golden_8,37,441,3,10568,25.316
138,Golden_8,41,441,3,10578,90.495
215,Golden_8,45,441,3,10607,150.665
214,Golden_8,49,441,3,10701,150.635
69,Golden_8,56,441,3,10867,150.659
102,Golden_8,63,441,3,10893,151.341
75,Golden_8,74,441,3,10902,151.108
173,Golden_8,89,441,3,10806,151.050
216,Golden_9,18,256,3,289,1.072
48,Golden_9,19,256,3,289,0.954
181,Golden_9,20,256,3,286,2.106
99,Golden_9,22,256,3,281,2.687
68,Golden_9,24,256,3,282,2.901
135,Golden_9,26,256,3,281,4.223
79,Golden_9,29,256,3,285,39.450
78,Golden_9,32,256,3,287,46.272
210,Golden_9,37,256,3,286,19.855
168,Golden_9,43,256,3,285,8.033
87,Golden_9,52,256,3,284,19.137
90,Golden_10,22,324,4,362,17.682
84,Golden_10,24,324,4,358,10.861
137,Golden_10,25,324,4,356,7.487
202,Golden_10,27,324,4,357,21.885
85,Golden_10,30,324,4,362,44.414
26,Golden_10,33,324,4,370,150.373
105,Golden_10,36,324,4,383,150.520
81,Golden_10,41,324,4,396,150.559
88,Golden_10,47,324,4,390,150.644
198,Golden_10,54,324,4,382,150.602
70,Golden_10,65,324,4,373,150.613
217,Golden_11,27,400,4,445,45.600
197,Golden_11,29,400,4,442,150.189
180,Golden_11,31,400,4,446,150.528
53,Golden_11,34,400,4,444,150.394
162,Golden_11,37,400,4,447,150.450
0,Golden_11,40,400,4,445,150.418
120,Golden_11,45,400,4,444,150.793
3,Golden_11,50,400,4,440,150.550
161,Golden_11,58,400,4,439,150.792
73,Golden_11,67,400,4,436,150.712
54,Golden_11,80,400,4,435,150.819
63,Golden_12,33,484,4,525,133.501
145,Golden_12,35,484,4,526,150.558
116,Golden_12,38,484,4,527,150.973
140,Golden_12,41,484,4,524,150.625
172,Golden_12,44,484,4,524,150.679
107,Golden_12,49,484,4,524,151.132
219,Golden_12,54,484,4,519,151.050
160,Golden_12,61,484,4,527,150.733
113,Golden_12,70,484,4,524,151.163
163,Golden_12,81,484,4,519,151.064
147,Golden_12,97,484,4,528,151.161
213,Golden_13,17,253,3,541,0.602
108,Golden_13,19,253,3,534,2.599
4,Golden_13,20,253,3,532,1.713
57,Golden_13,22,253,3,534,3.153
36,Golden_13,23,253,3,533,4.351
61,Golden_13,26,253,3,526,1.542
10,Golden_13,29,253,3,526,3.764
199,Golden_13,32,253,3,531,6.724
80,Golden_13,37,253,3,533,19.646
194,Golden_13,43,253,3,541,17.049
27,Golden_13,51,253,3,546,22.063
131,Golden_14,22,321,3,676,1.131
74,Golden_14,23,321,3,672,5.882
158,Golden_14,25,321,3,665,0.938
83,Golden_14,27,321,3,664,8.774
45,Golden_14,30,321,3,666,11.551
47,Golden_14,33,321,3,668,6.847
144,Golden_14,36,321,3,672,9.595
191,Golden_14,41,321,3,673,2.345
50,Golden_14,46,321,3,680,4.199
22,Golden_14,54,321,3,688,13.375
21,Golden_14,65,321,3,691,5.477
167,Golden_15,27,397,4,834,2.263
139,Golden_15,29,397,4,834,6.152
77,Golden_15,31,397,4,830,9.450
190,Golden_15,34,397,4,832,54.304
132,Golden_15,37,397,4,839,85.592
122,Golden_15,40,397,4,839,44.644
11,Golden_15,45,397,4,838,150.508
169,Golden_15,50,397,4,836,150.573
42,Golden_15,57,397,4,833,150.588
133,Golden_15,67,397,4,835,150.784
183,Golden_15,80,397,4,837,150.994
126,Golden_16,33,481,4,1006,27.046
174,Golden_16,35,481,4,1004,5.996
170,Golden_16,37,481,4,1006,4.849
64,Golden_16,41,481,4,1010,10.970
201,Golden_16,44,481,4,1009,150.688
207,Golden_16,49,481,4,1012,136.703
164,Golden_16,54,481,4,1005,73.097
30,Golden_16,61,481,4,999,150.755
115,Golden_16,69,481,4,997,151.198
184,Golden_16,81,481,4,1002,151.218
28,Golden_16,97,481,4,1004,151.204
82,Golden_17,17,241,3,404,1.632
104,Golden_17,18,241,3,405,2.776
89,Golden_17,19,241,3,407,1.608
41,Golden_17,21,241,3,412,1.493
66,Golden_17,22,241,3,413,3.442
32,Golden_17,25,241,3,407,3.832
159,Golden_17,27,241,3,405,4.523
19,Golden_17,31,241,3,401,11.128
142,Golden_17,35,241,3,397,13.457
178,Golden_17,41,241,3,393,4.137
13,Golden_17,49,241,3,389,7.220
186,Golden_18,21,301,3,564,3.665
193,Golden_18,22,301,3,567,2.046
156,Golden_18,24,301,3,567,2.845
49,Golden_18,26,301,3,561,1.361
128,Golden_18,28,301,3,554,1.848
62,Golden_18,31,301,3,552,7.437
165,Golden_18,34,301,3,554,6.947
2,Golden_18,38,301,3,565,11.335
60,Golden_18,43,301,3,569,17.551
200,Golden_18,51,301,3,571,24.573
171,Golden_18,61,301,3,570,20.292
38,Golden_19,25,361,4,793,7.383
44,Golden_19,26,361,4,794,4.655
31,Golden_19,28,361,4,799,14.520
33,Golden_19,31,361,4,798,13.788
148,Golden_19,33,361,4,786,43.699
208,Golden_19,37,361,4,773,116.527
